"date","shop","listing","seller","bat","species","format","part","currency","price","mean_price","ship_state","ship_country","individuals"
2022-10-03,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",38,41.4239285714286,"New York","United States",1
2022-10-04,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",38,41.4239285714286,"New York","United States",1
2022-10-05,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",38,41.4239285714286,"New York","United States",1
2022-10-06,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",38,41.4239285714286,"New York","United States",1
2022-10-07,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",38,41.4239285714286,"New York","United States",1
2022-10-10,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",45,41.4239285714286,"New York","United States",1
2022-10-11,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",45,41.4239285714286,"New York","United States",1
2022-10-12,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",45,41.4239285714286,"New York","United States",1
2022-10-13,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",45,41.4239285714286,"New York","United States",1
2022-10-14,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",45,41.4239285714286,"New York","United States",1
2022-10-17,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",45,41.4239285714286,"New York","United States",1
2022-10-18,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",45,41.4239285714286,"New York","United States",1
2022-10-19,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",45,41.4239285714286,"New York","United States",1
2022-10-20,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",45,41.4239285714286,"New York","United States",1
2022-10-21,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",45,41.4239285714286,"New York","United States",1
2022-10-24,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",39.99,41.4239285714286,"New York","United States",1
2022-10-25,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",39.99,41.4239285714286,"New York","United States",1
2022-10-26,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",39.99,41.4239285714286,"New York","United States",1
2022-10-27,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",39.99,41.4239285714286,"New York","United States",1
2022-10-28,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",39.99,41.4239285714286,"New York","United States",1
2022-11-01,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",39.99,41.4239285714286,"New York","United States",1
2022-11-08,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",39.99,41.4239285714286,"New York","United States",1
2022-11-15,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",39.99,41.4239285714286,"New York","United States",1
2022-11-22,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",39.99,41.4239285714286,"New York","United States",1
2022-11-29,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",39.99,41.4239285714286,"New York","United States",1
2022-12-06,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",39.99,41.4239285714286,"New York","United States",1
2022-12-13,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",39.99,41.4239285714286,"New York","United States",1
2022-12-30,"eBay","ebay_001","seller_001","Bat","K. picta","Standalone","Entire bat","$",39.99,41.4239285714286,"New York","United States",1
2022-10-03,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",50.22,51.2052,,"UK",1
2022-10-04,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",50.75,51.2052,,"UK",1
2022-10-05,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",51.3,51.2052,,"UK",1
2022-10-06,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",50.59,51.2052,,"UK",1
2022-10-07,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",50.37,51.2052,,"UK",1
2022-10-10,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",50.09,51.2052,,"UK",1
2022-10-11,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",49.7,51.2052,,"UK",1
2022-10-12,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",49.88,51.2052,,"UK",1
2022-10-13,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",49.81,51.2052,,"UK",1
2022-10-14,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",50.55,51.2052,,"UK",1
2022-10-17,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",50.63,51.2052,,"UK",1
2022-10-18,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",51.43,51.2052,,"UK",1
2022-10-19,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",50.92,51.2052,,"UK",1
2022-10-20,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",50.65,51.2052,,"UK",1
2022-10-21,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",50.94,51.2052,,"UK",1
2022-10-24,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",50.24,51.2052,,"UK",1
2022-10-25,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",50.9,51.2052,,"UK",1
2022-10-26,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",51.56,51.2052,,"UK",1
2022-10-27,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",52.21,51.2052,,"UK",1
2022-10-28,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",52.1,51.2052,,"UK",1
2022-11-01,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",51.8,51.2052,,"UK",1
2022-11-08,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",51.57,51.2052,,"UK",1
2022-11-15,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",52.79,51.2052,,"UK",1
2022-11-29,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",54.16,51.2052,,"UK",1
2022-12-06,"eBay","ebay_002","seller_002","Bat","K. picta","Frame","Entire bat","$",54.97,51.2052,,"UK",1
2022-10-03,"eBay","ebay_003","seller_002","Bat","K. picta","Coffin/Jar","Entire bat","$",55.8,57.5616,,"UK",1
