"ID","date","shop","seller","listing","kerivoula_title","kerivoula_text","post_url","title","thumbnail_src","description","description_tbl","variations","bat_verify","kpicta_verify","bat_presentation","bat_part","other_product_type","reviewer_name","notes","image_urls","dataset","mean_price","individuals","part","format","bat","species"
"115537996068_2022-10-28",2022-10-28,"eBay","seller_001","ebay_001",TRUE,TRUE,"https://www.ebay.com/itm/115537996068","CHIROPTERA: KERIVOULA PICTA ALSO KNOWN AS A FIRE BAT FREEZE DRIED - SPREAD",,"CHIROPTERA: KERIVOULA PICTA ALSO KNOWN AS A FIRE BAT FREEZE DRIED - SPREAD. Origin: East Java - Indonesia Kerivoula pictais bright orange or scarlet, with black wings and orange along the fingers. As in other species of Kerivoula,K. pictapossesses long, wooly, rather curly hair, a small, fragile form, large funnel-shaped ears and 38 teeth. Ears are naked, relatively large with rounded tip.","Condition: New: A brand-new, unused, unopened, undamaged item (including handmade items). See the seller's listing for full details.",,"TRUE","TRUE","Standalone","Entire_bat",,"Joanna",,"https://i.ebayimg.com/images/g/2u0AAOSwDC9jLlX1/s-l500.jpg; 
https://i.ebayimg.com/images/g/SkUAAOSwEsljLlX3/s-l500.jpg; 
https://i.ebayimg.com/images/g/X~wAAOSwMwRjLlX6/s-l500.jpg; 
https://i.ebayimg.com/images/g/pVUAAOSwnDdjLlX-/s-l500.jpg; 
https://i.ebayimg.com/images/g/JS8AAOSw-iFjLlYB/s-l500.jpg",1,41.4239285714286,1,"Entire bat","Standalone","Bat","K. picta"
"125229221524_2022-10-28",2022-10-28,"eBay","seller_002","ebay_002",TRUE,TRUE,"https://www.ebay.com/itm/125229221524","Taxidermy Painted Bat Frame (Kerivoula picta)",,"All Our Products 
  Add to Favourites 
  Store Newsletter 
  
 
  
 
 
  
 
 
 Butterfly Frames  
 
  
 Moth Frames  
 
  
 Beetle Frames  
 
  
 Spider Frames  
 
  
 Glass Domes / Bell Jars  
 
  
 Insect Frames  
 
 
 
 

  
  
 
 

 
 
 Information 
 Taxidermy Painted Bat Frame (Kerivoula picta) 
 

 
 ATaxidermy Painted Bat in a handmade wooden frame mounted on high-quality acid-free conservation board. The Latin and region names are printed underneath the specimen.  
 The painted bat can be found in most regions of Asia and Southern Asia, it is found in arid woodland. The bat is bright orange and extremelyremarkable. They are usually found in suspended nests or banana tree leaves. The batcan grow to 3 to 5.5cm with a wingspan of up to 30cm.  

 Latin Name: Kerivoula picta 

 Quality: A1 

 
 Sex: Male or Female 

 Distribution: Kerivoula pictacan be found in most regions of Asia. 

 Frame: Wooden box frame with glass window and hanging clips - handmade in our workshop. 

 Frame Size: 10 x 8 Inch. 

 Please Be Aware: The specimen that you will receive may differ in size, shape or colour very slightly since you are purchasing a natural product. 
 If you'd like a white frame, please let us know in the order comments. 

 
 
 

 
 
 
 
 Copyright Minibeast Ltd - All rights reserved","Condition: New: A brand-new, unused, unopened, undamaged item (including handmade items). See the seller's listing for full details. ; 
 Item Type: Taxidermy; 
 Mounted/ Unmounted: Mounted; 
 Animal Sub-Type: Butterfly/ Moth; 
 Material: Wood; 
 Brand: Minibeast; 
 Animal Type: Insects/ Spiders; 
 Manufacturer: Minibeast; 
 Modified Item: No; 
 Country/Region of Manufacture: United Kingdom; 
 UPC: Does not apply; 
 EAN: 7427276957518",,"TRUE","TRUE","Frame","Entire_bat",,"Joanna",,"https://i.ebayimg.com/images/g/eWQAAOSw~n1ifmk5/s-l500.jpg; 
https://i.ebayimg.com/images/g/6jAAAOSw4bhifmk5/s-l500.jpg; 
https://i.ebayimg.com/images/g/ym4AAOSw31ZiTxHu/s-l500.jpg; 
https://i.ebayimg.com/images/g/n7QAAOSwmBhiTxHt/s-l500.jpg; 
https://i.ebayimg.com/images/g/jBoAAOSwUnJiVYuE/s-l500.jpg; 
https://i.ebayimg.com/images/g/gQ8AAOSwrFFic8jT/s-l500.jpg; 
https://i.ebayimg.com/images/g/j8kAAOSwKiZjGZ1q/s-l500.jpg; 
https://i.ebayimg.com/images/g/2TUAAOSwhORixZss/s-l500.jpg; 
https://i.ebayimg.com/images/g/4FIAAOSw8uFjGZ1o/s-l500.jpg; 
https://i.ebayimg.com/images/g/Ae4AAOSw5wFic8jT/s-l500.jpg",1,51.2052,1,"Entire bat","Frame","Bat","K. picta"
"125246973527_2022-10-28",2022-10-28,"eBay","seller_002","ebay_003",TRUE,TRUE,"https://www.ebay.com/itm/125246973527","Taxidermy Painted Bat in Glass Dome (Kerivoula picta)",,"All Our Products 
  Add to Favourites 
  Store Newsletter 
  
 
  
 
 
  
 
 
 Butterfly Frames  
 
  
 Moth Frames  
 
  
 Beetle Frames  
 
  
 Spider Frames  
 
  
 Glass Domes / Bell Jars  
 
  
 Insect Frames  
 
 
 
 

  
  
 
 

 
 
 Information 
 Taxidermy Painted Bat in Glass Dome (Kerivoula picta) 
 

 
 A Taxidermy Painted Bat or Kerivoula picta presented in a hand-made glass dome. The Painted Bat can be found in the arid woodlands and is fairly uncommon. This bat can grow to a length of 5.5 centimeters with a wingspan of 30cm. 

 Latin Name: Kerivoula picta 

 Sex: Male or Female 

 Distribution: Kerivoula pictacan be found in most regions of Asia. 

 Dome Size: 3.75 x 6.25 Inches 

 Please Be Aware: The specimen that you will receive may differ in size, shape or colour very slightly since you are purchasing a natural product. 
 

 
 
 

 
 
 
 
 Copyright Minibeast Ltd - All rights reserved","Condition: New: A brand-new, unused, unopened, undamaged item (including handmade items). See the seller's listing for full details. ; 
 Item Type: Taxidermy; 
 Material: Wood; 
 Brand: Minibeast",,"TRUE","TRUE","Jar","Entire_bat",,"Joanna","I think it's K picta, but the specimen is not in great condition and I cannot see the traits I need to. Please help.","https://i.ebayimg.com/images/g/DZ0AAOSw7mBiog5e/s-l500.jpg; 
https://i.ebayimg.com/images/g/3zwAAOSwHkRiog5e/s-l500.jpg; 
https://i.ebayimg.com/images/g/DmwAAOSwUBhiog5d/s-l500.jpg; 
https://i.ebayimg.com/images/g/alsAAOSwxkhiog5f/s-l500.jpg; 
https://i.ebayimg.com/images/g/TxYAAOSw4odiog5e/s-l500.jpg; 
https://i.ebayimg.com/images/g/RLEAAOSwrPRiog5f/s-l500.jpg; 
https://i.ebayimg.com/images/g/IX0AAOSwNhZiog5f/s-l500.jpg; 
https://i.ebayimg.com/images/g/F4kAAOSwJE5iog5e/s-l500.jpg; 
https://i.ebayimg.com/images/g/3lAAAOSwUu1iog5e/s-l500.jpg",1,57.5616,1,"Entire bat","Coffin/Jar","Bat","K. picta"
"125457593843_2022-10-28",2022-10-28,"eBay","seller_003","ebay_004",TRUE,TRUE,"https://www.ebay.com/itm/125457593843","Taxidermy real bat flying  mount Kerivoula picta perfect specimen",,"This is a very fine specimen.  Bat species Kerivoula picta   flying position,  From east Java in fine condition, perfect,  from  Indonesia.    These specimens have been museum cleaned, and professionally prepared.   The features are all present,     This is a REAL specimen, not a cast. If it doesn't say ""real"" it isn't, don't be fooled by replicas.   This specimen measures 8     inches across ,  . This is a large specimen from a mature  animal.  
  All specimens are legally collected and they are legal to sell. None of these specimens are listed in appendix I, II, or III of Cites, they are not endangered or threatened..  Everything is 100% authentic. Check out my feedback if you have any doubts. This offer is fully guaranteed, if you are not satisfied for any reason just return the item for a full refund. Any questions please e-mail. Buyer satisfaction is GUARANTEED.","Condition: New: A brand-new, unused, unopened, undamaged item (including handmade items). See the seller's listing for full details. ; 
 Product Type: dried; 
 Species: Kerivoula picta",,"TRUE","TRUE","Standalone","Entire_bat",,"Joanna",,"https://i.ebayimg.com/images/g/eyQAAOSwP45d8Pv6/s-l500.jpg; 
https://i.ebayimg.com/images/g/GsIAAOSwyR1d8PwC/s-l500.jpg",1,52,1,"Entire bat","Standalone","Bat","K. picta"
"125499757619_2022-10-28",2022-10-28,"eBay","seller_003","ebay_005",TRUE,TRUE,"https://www.ebay.com/itm/125499757619","2 Taxidermy real bats flying  Pipistrellus javanicus and Kerivoula picta",,"very fine specimens. Perfect.  Bat species Pipistrellus javanicus and Kerivoula picta  flying position,  From east Java in fine condition, perfect,  from  Indonesia.    These specimens have been museum cleaned, and professionally prepared.   The features are all present,     This is a REAL specimen, not a cast. If it doesn't say ""real"" it isn't, don't be fooled by replicas.   The largest  specimen measures 8     inches across ,  . 
  All specimens are legally collected and they are legal to sell. None of these specimens are listed in appendix I, II, or III of Cites, they are not endangered or threatened..  Everything is 100% authentic. Check out my feedback if you have any doubts. This offer is fully guaranteed, if you are not satisfied for any reason just return the item for a full refund. Any questions please e-mail. Buyer satisfaction is GUARANTEED.","Condition: New: A brand-new, unused, unopened, undamaged item (including handmade items). See the seller's listing for full details. ; 
 Product Type: dried; 
 Featured Refinements: Taxidermy Bat; 
 Species: Pipistrellus javanicus",,"TRUE","TRUE","Standalone","Entire_bat",,"Joanna","also with other bat species (it says Pipistrellus javanicus)","https://i.ebayimg.com/images/g/zr8AAOSw4apiYGYc/s-l500.jpg",1,82,1,"Entire bat","Standalone","Bat","K. picta"
"125562173379_2022-10-18",2022-10-18,"eBay","seller_004","ebay_006",TRUE,FALSE,"https://www.ebay.com/itm/125562173379","CHIROPTERA: KERIVOULA PICTA FREEZE DRIED",,"Origin: East Java - Indonesia 
 code: 72 

  SHIPPING FROM INDONESIA  

 We will ship the package
from Indonesia by Registered Airmail. 

 All items will be shipped
out from Indonesia within 5 business days of receiving cleared payment. 
  

  COMBINE SHIPPING COST:  

  Primary shipping cost
(One item) + Secondary shipping cost (each additional item) $3 
  
You will receive the package during a period of 2 to 6 weeks. 
Please contact me for a quote if you wish to receive your items faster. 
  PAYMENT 
We only accept Paypal. 
  CONTACT US 
Please don’t hesitate to contact us if you have any question. 

     

  THANK YOU  &amp;
HAPPY BIDDING!!",,,"TRUE","TRUE","Standalone","Entire_bat",,"Joanna",,"https://i.ebayimg.com/images/g/V60AAOSwG1FjSCQX/s-l500.jpg; 
https://i.ebayimg.com/images/g/p50AAOSwkDVjSCQX/s-l500.jpg; 
https://i.ebayimg.com/images/g/j48AAOSwtnNjSCQX/s-l500.jpg",1,15,1,"Entire bat","Standalone","Bat","K. picta"
"125620178563_2022-11-22",2022-11-22,"eBay","seller_004","ebay_007",TRUE,FALSE,"https://www.ebay.com/itm/125620178563","CHIROPTERA: KERIVOULA PICTA FREEZE DRIED",,"Origin: East Java - Indonesia 
 code: 27 

  SHIPPING FROM INDONESIA  

 We will ship the package
from Indonesia by Registered Airmail. 

 All items will be shipped
out from Indonesia within 5 business days of receiving cleared payment. 
  

  COMBINE SHIPPING COST:  

  Primary shipping cost
(One item) + Secondary shipping cost (each additional item) $3 
  
You will receive the package during a period of 2 to 6 weeks. 
Please contact me for a quote if you wish to receive your items faster. 
  PAYMENT 
We only accept Paypal. 
  CONTACT US 
Please don’t hesitate to contact us if you have any question. 

     

  THANK YOU  &amp;
HAPPY BIDDING!!",,,"TRUE","TRUE","Standalone","Entire_bat",,"JC",,"https://i.ebayimg.com/images/g/ehsAAOSwTx1jeJ01/s-l500.jpg; 
https://i.ebayimg.com/images/g/OMwAAOSwW1BjeJ01/s-l500.jpg; 
https://i.ebayimg.com/images/g/NBwAAOSwJkpjeJ01/s-l500.jpg; 
https://i.ebayimg.com/images/g/THMAAOSweONjeJ01/s-l500.jpg",2,15,1,"Entire bat","Standalone","Bat","K. picta"
"125658281549_2022-12-13",2022-12-13,"eBay","seller_004","ebay_008",TRUE,FALSE,"https://www.ebay.com/itm/125658281549","CHIROPTERA: KERIVOULA PICTA HANGING - SKELETON",,"Origin: East Java - Indonesia 
 code: 3 

  SHIPPING FROM INDONESIA  

 We will ship the package
from Indonesia by Registered Airmail. 

 All items will be shipped
out from Indonesia within 5 business days of receiving cleared payment. 
  

  COMBINE SHIPPING COST:  

  Primary shipping cost
(One item) + Secondary shipping cost (each additional item) $3 
  
You will receive the package during a period of 2 to 6 weeks. 
Please contact me for a quote if you wish to receive your items faster. 
  PAYMENT 
We only accept Paypal. 
  CONTACT US 
Please don’t hesitate to contact us if you have any question. 

     

  THANK YOU  &amp;
HAPPY BIDDING!!",,,"TRUE","UNSURE","Standalone","Skeleton",,"JC","species:insect_bat","https://i.ebayimg.com/images/g/0v8AAOSw9l5jlAEs/s-l500.jpg; 
https://i.ebayimg.com/images/g/EsUAAOSwFwdjlAEs/s-l500.jpg; 
https://i.ebayimg.com/images/g/A5cAAOSw~4djlAEt/s-l500.jpg; 
https://i.ebayimg.com/images/g/9CsAAOSwx6RjlAEt/s-l500.jpg",2,15,,"Skeleton","Standalone","Bat","Undetermined"
"125658281586_2022-12-13",2022-12-13,"eBay","seller_004","ebay_009",TRUE,FALSE,"https://www.ebay.com/itm/125658281586","CHIROPTERA: KERIVOULA PICTA SPREAD - FREEZE DRIED",,"Origin: East Java - Indonesia 
 code: 28 

  SHIPPING FROM INDONESIA  

 We will ship the package
from Indonesia by Registered Airmail. 

 All items will be shipped
out from Indonesia within 5 business days of receiving cleared payment. 
  

  COMBINE SHIPPING COST:  

  Primary shipping cost
(One item) + Secondary shipping cost (each additional item) $3 
  
You will receive the package during a period of 2 to 6 weeks. 
Please contact me for a quote if you wish to receive your items faster. 
  PAYMENT 
We only accept Paypal. 
  CONTACT US 
Please don’t hesitate to contact us if you have any question. 

     

  THANK YOU  &amp;
HAPPY BIDDING!!",,,"TRUE","TRUE","Standalone","Entire_bat",,"JC",,"https://i.ebayimg.com/images/g/vgsAAOSwRoRjlBaL/s-l500.jpg; 
https://i.ebayimg.com/images/g/H48AAOSw1dVjlBaL/s-l500.jpg; 
https://i.ebayimg.com/images/g/QvUAAOSw2QljlBaM/s-l500.jpg",2,15,1,"Entire bat","Standalone","Bat","K. picta"
"144740299784_2022-10-04",2022-10-04,"eBay","seller_005","ebay_010",TRUE,TRUE,"https://www.ebay.com/itm/144740299784","Kerivoula picta - Authentic Taxidermy Bat, to hang from Java - INDONESIA #278",,"img{max-width:100%} 
 
 
 
 You will receive the specimen shown in the photo, with reference number. 
 If you need more units, you can contact me. 
 Good luck in the bids !!! 
 
 
 
 BATS NAME:        Kerivoula picta - Authentic Taxidermy Bat, to hang 
 
   
  FROM:   Java -INDONESIA -  Complete data (date, exact location)  
 SEX:     
  CONDITION / QUALITY :   Look at the picture (mounted)  
 
 
 
 
  
  How will you receive your purchase?  
  
 
             
 
  
 
 PACKAGING: 
 
 Cardboard box or bubble envelope is used, according to the characteristics of each shipment. 
 The butterflies are packaged in triangle envelopes, with absorbent paper inside, to protect and prevent the breakage of antennas and the movement of the butterfly inside the envelope. 
 All specimens have complete data, date and exact location. 
 You will receive the specimen shown in the images, with the reference number shown in the image. Sometimes the tones or color may vary due to the variation of the lighting. 
 
  
  SHIPPING COST: (package with tracking number):  
 
 North and South America: 18 $ 
 Europe: 14 $ 
 Asia, Japan, China:  18 $ 
 Spain: 7 $ 
 
  
  PAYMENTS AND INVOICES:  
 
 You can combine auctions of different weeks. Shipping costs are only paid once, you can combine shipping costs. 
 If you decide to combine your purchase for several weeks, it is important not to delay the payment of your bill. Each generated invoice, must be paid within the following week, at the end of each Sunday. 
 You can pay through Paypal or bank transfer. 
 If you have problems with shipping costs when paying your bill, please notify me, to send you a new invoice. 
 
  
  RETURNED ITEMS  
 
 Yes. you can return your items if you are not satisfied. They must be returned in the condition that I sent them out (as in the photograph). Insects are delicate, and although I will try my best to protect the specimens during transit, the postal companies aren't so careful. 
 You have 30 days for the return of the item, or the refund of your purchase. (For any option please contact me, it is not necessary to open claims or disputes on Ebay or Paypal). 
 
  
  MESSAGES:  
 Respond to your messages, questions or doubts as soon as possible, please be patient. I am at your disposal for any question, doubt or question, take into account the time difference of your country with respect to Spain, I will respond as soon as possible .  
  
 
  FEEDBACK:  
 Feedback is important, and I will always leave feedback once I have received feedback from you. Please, there is no need for negative feedback, we can solve any problems, just ask.","Condition: New: A brand-new, unused, unopened, undamaged item (including handmade items). See the seller's listing for full details.",,"TRUE","TRUE","Other_Mounted","Entire_bat",,,"mount:hanging_on_dowel","https://i.ebayimg.com/images/g/I4cAAOSwPiljMhs-/s-l500.jpg; 
https://i.ebayimg.com/images/g/IDAAAOSwBSljMhtK/s-l500.jpg; 
https://i.ebayimg.com/images/g/ZQgAAOSwgdZjMhtN/s-l500.jpg; 
https://i.ebayimg.com/images/g/nLcAAOSwDzdjMhtB/s-l500.jpg; 
https://i.ebayimg.com/images/g/fGwAAOSwdMBjMhtE/s-l500.jpg; 
https://i.ebayimg.com/images/g/Y1AAAOSwynpjMhtH/s-l500.jpg",1,1.99,1,"Entire bat","Other","Bat","K. picta"
